Source,Target,Type,Id,Label,timeset,Weight
standard/WhatIsUnicode.html,glossary/index.html,Directed,16618,,,1
uli/,home/announcement,Directed,16619,,,3
uli/,home/announcement/february2017uli-tcmeeting,Directed,16622,,,1
uli/,home/announcement/newmailinglistuli-users,Directed,16623,,,1
uli/,home/announcement/publiclyavailablespecifications,Directed,16624,,,1
uli/,home/announcement/ulisegmentexceptionspostedinsvnanddemoupdated,Directed,16625,,,1
uli/,home/announcement/wordcounteffortbegun,Directed,16626,,,1
uli/,home/uli-charter,Directed,16627,,,2
uli/,home/uli-documents,Directed,16629,,,2
uli/,home/uli-process,Directed,16631,,,2
cldr/process.html,implementers-faq,Directed,16633,,,1
cldr/process.html,index,Directed,16634,,,2
cldr/process.html,index/bcp47-extension,Directed,16636,,,1
cldr/process.html,index/bug-reports,Directed,16637,,,1
cldr/process.html,index/charts,Directed,16638,,,1
cldr/process.html,index/cldr-spec,Directed,16639,,,1
cldr/process.html,index/downloads,Directed,16640,,,1
cldr/process.html,index/process/cldr-data-retention-policy,Directed,16641,,,1
cldr/process.html,index/survey-tool,Directed,16642,,,1
pending/proposals.html,pending/pending.html,Directed,16643,,,2
standard/unsupported.html,pending/pending.html,Directed,16645,,,3
standard/where/,pending/pending.html,Directed,16647,,,1
standard/unsupported.html,pending/proposals.html,Directed,16648,,,2
standard/where/,pending/proposals.html,Directed,16650,,,2
consortium/utc.html,standard/standard.html,Directed,16652,,,2
cldr/process.html,system/app/pages/recentChanges,Directed,16654,,,1
uli/,system/app/pages/recentChanges,Directed,16655,,,1
cldr/process.html,system/app/pages/sitemap/hierarchy,Directed,16656,,,1
uli/,system/app/pages/sitemap/hierarchy,Directed,16657,,,1
consortium/utc.html,timesens/calendar.html,Directed,16658,,,2
